ASV_1	KC410946.1	92.347	196	15	0	1	196	3	198	1.18e-72	279
ASV_10	FR871386.1	99.000	200	2	0	1	200	748	549	1.48e-96	359
ASV_100	FR871391.1	97.500	200	5	0	1	200	739	540	1.49e-91	342
ASV_1001	KC411316.1	98.000	200	4	0	1	200	3	202	3.20e-93	348
ASV_10011	KC411433.1	92.000	200	13	3	1	198	3	201	4.26e-72	278
ASV_10012	KC515461.1	89.730	185	14	4	1	183	31	212	3.36e-58	231
ASV_10015	MH469288.1	98.925	186	2	0	1	186	750	935	8.97e-89	333
ASV_10016	JX276895.1	96.939	196	6	0	1	196	713	908	1.16e-87	329
ASV_10017	KC410946.1	96.500	200	7	0	1	200	3	202	3.22e-88	331
ASV_10021	HG798895.1	98.500	200	3	0	1	200	717	916	6.88e-95	353
ASV_10026	FM876840.3	83.770	191	26	4	1	186	430	620	1.60e-41	176
ASV_10027	KC411135.1	90.909	187	17	0	1	187	3	189	2.58e-64	252
ASV_10028	KC411217.1	94.444	198	11	0	1	198	3	200	1.95e-80	305
ASV_1003	KC411228.1	95.000	200	8	2	1	200	3	200	1.17e-82	313
ASV_10030	KC410946.1	95.000	200	10	0	1	200	3	202	3.25e-83	315
ASV_10035	HE775318.1	84.211	190	22	8	1	188	720	903	4.45e-42	178
ASV_10037	FR871391.1	98.000	200	4	0	1	200	739	540	3.20e-93	348
ASV_10041	FR871391.1	91.878	197	15	1	1	196	739	543	5.51e-71	274
ASV_10043	LR731856.1	88.550	131	12	3	211	340	80	208	2.08e-35	156
ASV_10046	MH503961.1	92.746	193	14	0	8	200	1	193	1.18e-72	279
ASV_10051	KC166265.1	87.166	187	14	7	6	183	9	194	7.34e-50	204
ASV_10053	KX643933.1	85.128	195	24	5	1	192	3	195	4.41e-47	195
ASV_10054	KF060294.1	87.097	124	12	4	1	124	744	863	7.55e-30	137
ASV_10056	JQ029746.1	99.500	200	1	0	1	200	3	202	3.18e-98	364
ASV_10057	CAJVPT010015842.1	90.500	200	17	2	1	199	2214	2016	1.19e-67	263
ASV_10058	CAJVPT010015842.1	89.655	203	15	4	1	200	2214	2015	7.18e-65	254
ASV_10066	KC411217.1	91.414	198	15	2	1	198	3	198	7.13e-70	270
ASV_10068	DQ400281.1	83.000	200	26	5	1	195	740	936	5.75e-41	174
ASV_10076	KC411316.1	86.224	196	27	0	1	196	3	198	1.22e-52	213
ASV_10077	KC411316.1	98.000	200	4	0	1	200	3	202	3.20e-93	348
ASV_10081	KC411316.1	89.062	192	19	2	1	191	3	193	7.23e-60	237
ASV_1009	JF519527.1	82.888	187	22	6	1	178	566	751	1.61e-36	159
ASV_10090	MH503961.1	93.158	190	11	2	8	196	1	189	4.26e-72	278
ASV_10092	KC411316.1	82.447	188	29	4	1	186	3	188	4.48e-37	161
ASV_10108	JX683753.1	82.051	195	26	7	1	194	40	226	5.79e-36	158
ASV_10117	AB547173.1	98.500	200	3	0	1	200	3	202	6.88e-95	353
ASV_10119	KF849645.1	86.082	194	15	10	1	186	801	990	3.41e-48	198
ASV_10120	FR871339.1	91.584	202	15	2	1	200	747	546	4.26e-72	278
ASV_10123	KC410946.1	96.500	200	7	0	1	200	3	202	3.22e-88	331
ASV_10124	FR871340.1	95.385	195	9	0	1	195	747	553	4.20e-82	311
ASV_10125	FR871391.1	98.000	200	4	0	1	200	739	540	3.20e-93	348
ASV_10127	DQ900950.1	95.500	200	6	3	1	197	351	550	9.03e-84	316
ASV_10128	FR871391.1	99.500	200	1	0	1	200	739	540	3.18e-98	364
ASV_10132	KC411316.1	99.000	200	2	0	1	200	3	202	1.48e-96	359
ASV_10139	AB665521.1	95.939	197	5	2	1	197	3	196	9.03e-84	316
ASV_1014	KC411217.1	89.730	185	19	0	1	185	3	187	7.23e-60	237
ASV_10143	KC411217.1	93.434	198	13	0	1	198	3	200	4.23e-77	294
ASV_10144	KC411217.1	93.434	198	13	0	1	198	3	200	4.23e-77	294
ASV_10146	KC411228.1	93.500	200	6	7	1	200	3	195	5.47e-76	291
ASV_10147	MG664367.1	99.000	200	2	0	1	200	727	926	1.48e-96	359
ASV_10148	KC411228.1	93.532	201	12	1	1	200	3	203	3.27e-78	298
ASV_10150	FR871391.1	90.547	201	18	1	1	200	739	539	3.32e-68	265
ASV_10153	FN547522.1	82.143	196	27	8	1	195	723	911	4.48e-37	161
ASV_10155	MH503961.1	97.927	193	4	0	8	200	1	193	2.49e-89	335
ASV_1016	MH503961.1	94.301	193	9	2	8	199	1	192	4.23e-77	294
ASV_10166	KC411228.1	93.000	200	7	7	1	200	3	195	2.55e-74	285
ASV_10168	KC411225.1	100.000	200	0	0	1	200	3	202	6.83e-100	370
ASV_1017	KC411217.1	86.010	193	18	6	1	185	3	194	3.41e-48	198
ASV_10170	KC411316.1	97.000	200	6	0	1	200	3	202	6.93e-90	337
ASV_10176	MT765689.1	100.000	200	0	0	1	200	726	925	6.83e-100	370
ASV_10182	MZ359655.1	84.656	189	24	3	1	184	733	921	9.56e-44	183
ASV_10183	JX683745.1	99.500	200	1	0	1	200	39	238	3.18e-98	364
ASV_1019	FR871391.1	88.776	196	21	1	1	195	739	544	2.01e-60	239
ASV_10198	KC411316.1	88.021	192	22	1	1	191	3	194	1.57e-56	226
ASV_10199	LT993069.1	98.462	130	2	0	211	340	256	385	1.21e-57	230
ASV_102	MH982556.1	79.695	197	32	8	1	195	1738	1928	2.71e-29	135
ASV_10202	KC410946.1	91.837	196	16	0	1	196	3	198	5.51e-71	274
ASV_10203	MH503961.1	94.271	192	11	0	8	199	1	192	4.23e-77	294
ASV_10208	KC410946.1	94.500	200	11	0	1	200	3	202	1.51e-81	309
ASV_10211	CAJVPT010015842.1	93.970	199	12	0	1	199	2214	2016	2.53e-79	302
ASV_10212	KC515569.1	89.431	123	8	5	1	123	31	148	9.69e-34	150
ASV_10213	KC411084.1	100.000	200	0	0	1	200	3	202	6.83e-100	370
ASV_10214	KC410979.1	93.500	200	13	0	1	200	3	202	3.27e-78	298
